209
ENSSSCG00000004088	ARMT1	protein_coding
ENSSSCG00000004089	RMND1	protein_coding
ENSSSCG00000004090	ZBTB2	protein_coding
ENSSSCG00000031733	AKAP12	protein_coding
ENSSSCG00000004092	MTHFD1L	protein_coding
ENSSSCG00000032778	PLEKHG1	protein_coding
ENSSSCG00000026396	RF00319	snoRNA
ENSSSCG00000040966	ENSSSCG00000040966	protein_coding
ENSSSCG00000004093	IYD	protein_coding
ENSSSCG00000004094	PPP1R14C	protein_coding
ENSSSCG00000035574	ENSSSCG00000035574	protein_coding
ENSSSCG00000032525	ENSSSCG00000032525	protein_coding
ENSSSCG00000033578	ENSSSCG00000033578	protein_coding
ENSSSCG00000004096	ENSSSCG00000004096	protein_coding
ENSSSCG00000004098	ENSSSCG00000004098	protein_coding
ENSSSCG00000026042	ULBP1	protein_coding
ENSSSCG00000004101	LRP11	protein_coding
ENSSSCG00000004103	PCMT1	protein_coding
ENSSSCG00000004105	NUP43	protein_coding
ENSSSCG00000031644	ENSSSCG00000031644	protein_coding
ENSSSCG00000004106	LATS1	protein_coding
ENSSSCG00000004104	KATNA1	protein_coding
ENSSSCG00000030067	GINM1	protein_coding
ENSSSCG00000028867	PPIL4	protein_coding
ENSSSCG00000004109	ZC3H12D	protein_coding
ENSSSCG00000004110	TAB2	protein_coding
ENSSSCG00000028974	UST	protein_coding
ENSSSCG00000033175	SASH1	protein_coding
ENSSSCG00000035386	RF00026	snRNA
ENSSSCG00000004112	SAMD5	protein_coding
ENSSSCG00000004113	STXBP5	protein_coding
ENSSSCG00000004114	RAB32	protein_coding
ENSSSCG00000004119	GRM1	protein_coding
ENSSSCG00000004120	SHPRH	protein_coding
ENSSSCG00000004121	FBXO30	protein_coding
ENSSSCG00000032105	RF00093	snoRNA
ENSSSCG00000004123	UTRN	protein_coding
ENSSSCG00000033962	ENSSSCG00000033962	protein_coding
ENSSSCG00000004125	STX11	protein_coding
ENSSSCG00000035578	SF3B5	protein_coding
ENSSSCG00000004127	PLAGL1	protein_coding
ENSSSCG00000032615	RF02143	misc_RNA
ENSSSCG00000004128	ZC2HC1B	protein_coding
ENSSSCG00000040918	ENSSSCG00000040918	protein_coding
ENSSSCG00000004130	ENSSSCG00000004130	protein_coding
ENSSSCG00000039614	ENSSSCG00000039614	protein_coding
ENSSSCG00000004132	PHACTR2	protein_coding
ENSSSCG00000020208	RF00026	snRNA
ENSSSCG00000004133	FUCA2	protein_coding
ENSSSCG00000004134	PEX3	protein_coding
ENSSSCG00000039598	ADAT2	protein_coding
ENSSSCG00000004136	AIG1	protein_coding
ENSSSCG00000004138	HIVEP2	protein_coding
ENSSSCG00000004139	ADGRG6	protein_coding
ENSSSCG00000004140	VTA1	protein_coding
ENSSSCG00000034307	GJE1	protein_coding
ENSSSCG00000036250	NMBR	protein_coding
ENSSSCG00000036890	RF00026	snRNA
ENSSSCG00000004142	CITED2	protein_coding
ENSSSCG00000004143	TXLNB	protein_coding
ENSSSCG00000004144	HECA	protein_coding
ENSSSCG00000004145	ENSSSCG00000004145	protein_coding
ENSSSCG00000004146	REPS1	protein_coding
ENSSSCG00000004147	ECT2L	protein_coding
ENSSSCG00000004148	CCDC28A	protein_coding
ENSSSCG00000004149	NHSL1	protein_coding
ENSSSCG00000020384	RF00156	snoRNA
ENSSSCG00000004150	ENSSSCG00000004150	protein_coding
ENSSSCG00000037315	RF00026	snRNA
ENSSSCG00000004151	ENSSSCG00000004151	protein_coding
ENSSSCG00000022968	ARFGEF3	protein_coding
ENSSSCG00000038420	PERP	protein_coding
ENSSSCG00000004154	TNFAIP3	protein_coding
ENSSSCG00000004155	OLIG3	protein_coding
ENSSSCG00000004156	IFNGR1	protein_coding
ENSSSCG00000004158	IL22RA2	protein_coding
ENSSSCG00000004157	IL20RA	protein_coding
ENSSSCG00000004159	SLC35D3	protein_coding
ENSSSCG00000004160	PEX7	protein_coding
ENSSSCG00000020379	RF00026	snRNA
ENSSSCG00000026041	MAP3K5	protein_coding
ENSSSCG00000039049	MAP7	protein_coding
ENSSSCG00000004163	BCLAF1	protein_coding
ENSSSCG00000004164	MTFR2	protein_coding
ENSSSCG00000004165	PDE7B	protein_coding
ENSSSCG00000035425	ENSSSCG00000035425	protein_coding
ENSSSCG00000020601	RF00156	snoRNA
ENSSSCG00000004166	AHI1	protein_coding
ENSSSCG00000004167	MYB	protein_coding
ENSSSCG00000039857	ENSSSCG00000039857	protein_coding
ENSSSCG00000031314	ENSSSCG00000031314	protein_coding
ENSSSCG00000004169	HBS1L	protein_coding
ENSSSCG00000028115	ALDH8A1	protein_coding
ENSSSCG00000004170	ENSSSCG00000004170	pseudogene
ENSSSCG00000020130	RF00322	snoRNA
ENSSSCG00000019571	RF00026	snRNA
ENSSSCG00000021443	SGK1	protein_coding
ENSSSCG00000004172	SLC2A12	protein_coding
ENSSSCG00000022387	TBPL1	protein_coding
ENSSSCG00000033258	TCF21	protein_coding
