430
ENSSSCT00000065539	3471	18545	18545	2	5	0	0
ENSSSCT00000042326	3471	18545	18545	2	6	5	0
ENSSSCT00000046027	5658	18695	18545	2	4	11	0
ENSSSCT00000058189	23367	39930	18695	1	6	15	1
ENSSSCT00000023500	23852	40112	39930	1	5	21	1
ENSSSCT00000055371	96217	186784	40112	2	10	26	2
ENSSSCT00000030275	112762	113498	186784	2	3	36	3
ENSSSCT00000063290	121144	186747	186784	2	9	39	2
ENSSSCT00000041397	121145	186769	186784	2	10	48	2
ENSSSCT00000038814	121146	186715	186784	2	10	58	2
ENSSSCT00000047009	121146	186776	186784	2	11	68	2
ENSSSCT00000042748	122997	186784	186784	2	11	79	2
ENSSSCT00000047788	166075	186784	186784	2	4	90	2
ENSSSCT00000026580	171199	186784	186784	2	4	94	2
ENSSSCT00000024788	198991	208446	186784	1	12	98	4
ENSSSCT00000062318	199230	211341	208446	1	12	110	4
ENSSSCT00000054059	352195	356071	211341	1	7	122	5
ENSSSCT00000052221	470505	475344	356071	1	4	129	6
ENSSSCT00000040859	512677	540885	475344	2	17	133	7
ENSSSCT00000055698	512677	540895	540885	2	17	150	7
ENSSSCT00000037459	512678	540957	540895	2	18	167	7
ENSSSCT00000041743	513372	540885	540957	2	17	185	7
ENSSSCT00000004434	513492	538473	540957	2	18	202	7
ENSSSCT00000004433	541027	551880	540957	1	4	220	8
ENSSSCT00000004429	555354	578328	551880	1	12	224	9
ENSSSCT00000004435	556721	578328	578328	1	12	236	9
ENSSSCT00000031463	556721	578328	578328	1	11	248	9
ENSSSCT00000056161	557077	576705	578328	1	12	259	9
ENSSSCT00000022754	575724	578430	578328	2	2	271	10
ENSSSCT00000004431	578464	719927	578430	1	26	273	11
ENSSSCT00000004436	855023	882460	719927	1	22	299	12
ENSSSCT00000044270	855034	882180	882460	1	21	321	12
ENSSSCT00000064251	857885	883693	882460	1	21	342	12
ENSSSCT00000051384	919553	924548	883693	2	4	363	13
ENSSSCT00000037702	1013706	1013801	924548	2	1	367	14
ENSSSCT00000054680	1193166	1332693	1013801	2	13	368	15
ENSSSCT00000004437	1194553	1332690	1332693	2	14	381	15
ENSSSCT00000060149	1340182	1340262	1332693	2	1	395	16
ENSSSCT00000050017	1414133	1423269	1340262	1	6	396	17
ENSSSCT00000062180	1414133	1423269	1423269	1	5	402	17
ENSSSCT00000004442	1495817	1517983	1423269	1	12	407	18
ENSSSCT00000027970	1496031	1521665	1517983	1	18	419	18
ENSSSCT00000004441	1527529	1537813	1521665	2	8	437	19
ENSSSCT00000004443	1581994	1664605	1537813	2	31	445	20
ENSSSCT00000039396	1581994	1698531	1664605	2	31	476	20
ENSSSCT00000051253	1581994	1698531	1698531	2	29	507	20
ENSSSCT00000043070	1584011	1697842	1698531	2	29	536	20
ENSSSCT00000036831	1665567	1665642	1698531	2	1	565	21
ENSSSCT00000060870	1919993	1958265	1698531	1	9	566	22
ENSSSCT00000023133	1929927	1958141	1958265	1	9	575	22
ENSSSCT00000048825	1937966	1958141	1958265	1	8	584	22
ENSSSCT00000004444	1938456	1958327	1958265	1	9	592	22
ENSSSCT00000059154	1943175	1958138	1958327	1	8	601	22
ENSSSCT00000028127	1974564	1976148	1958327	1	6	609	23
ENSSSCT00000058461	1981950	1996112	1976148	2	6	615	24
ENSSSCT00000054151	2003171	2008111	1996112	1	1	621	25
ENSSSCT00000026678	2018607	2019820	2008111	2	2	622	26
ENSSSCT00000038732	2070633	2074973	2019820	1	3	624	27
ENSSSCT00000045564	2074627	2074973	2074973	1	3	627	27
ENSSSCT00000004448	2093329	2120827	2074973	2	12	630	28
ENSSSCT00000054266	2093330	2120792	2120827	2	10	642	28
ENSSSCT00000037518	2094827	2120776	2120827	2	11	652	28
ENSSSCT00000059456	2094869	2120767	2120827	2	13	663	28
ENSSSCT00000044112	2145175	2164766	2120827	1	10	676	29
ENSSSCT00000064938	2146809	2164763	2164766	1	9	686	29
ENSSSCT00000064255	2149443	2166286	2164766	1	8	695	29
ENSSSCT00000046761	2149443	2166286	2166286	1	7	703	29
ENSSSCT00000004450	2149559	2163865	2166286	1	9	710	29
ENSSSCT00000049529	2203605	2522598	2166286	1	23	719	30
ENSSSCT00000004447	2261970	2519755	2522598	1	21	742	30
ENSSSCT00000041914	2320862	2522599	2522598	1	21	763	30
ENSSSCT00000052370	2320984	2522599	2522599	1	20	784	30
ENSSSCT00000058943	2323164	2519755	2522599	1	20	804	30
ENSSSCT00000056494	2374151	2517985	2522599	1	20	824	30
ENSSSCT00000044784	2375023	2522600	2522599	1	21	844	30
ENSSSCT00000061934	2375052	2522599	2522600	1	20	865	30
ENSSSCT00000064731	2541628	2552387	2522600	1	5	885	31
ENSSSCT00000059015	2568526	2581989	2552387	2	6	890	32
ENSSSCT00000004445	2576728	2593515	2581989	1	8	896	33
ENSSSCT00000004446	2599705	2602265	2593515	1	3	904	34
ENSSSCT00000057225	2608626	2613746	2602265	1	5	907	35
ENSSSCT00000053976	2677004	2679626	2613746	1	4	912	36
ENSSSCT00000037176	2716762	2724975	2679626	1	9	916	37
ENSSSCT00000037270	2717164	2724975	2724975	1	8	925	37
ENSSSCT00000047024	2774646	2782989	2724975	2	4	933	38
ENSSSCT00000060513	2777466	2782989	2782989	2	4	937	38
ENSSSCT00000004453	2882386	3386479	2782989	1	21	941	39
ENSSSCT00000051543	2893741	2893817	3386479	1	1	962	40
ENSSSCT00000021249	3065679	3065778	3386479	1	1	963	41
ENSSSCT00000041923	3120410	3383542	3386479	1	19	964	39
ENSSSCT00000004454	3409210	3424327	3386479	1	7	983	42
ENSSSCT00000057600	4732577	4881937	3424327	2	8	990	43
ENSSSCT00000056118	4732700	4883869	4881937	2	9	998	43
ENSSSCT00000004455	4743313	4882750	4883869	2	7	1007	43
ENSSSCT00000060412	4743313	4883869	4883869	2	6	1014	43
ENSSSCT00000042383	4743952	4883869	4883869	2	8	1020	43
ENSSSCT00000057322	4964686	5465198	4883869	2	5	1028	44
ENSSSCT00000022182	5525079	5525184	5465198	1	1	1033	45
ENSSSCT00000048483	5529243	5529375	5525184	2	1	1034	46
ENSSSCT00000048870	5679023	6729845	5529375	1	12	1035	47
ENSSSCT00000004459	5698505	6729845	6729845	1	10	1047	47
ENSSSCT00000004461	6771660	6883112	6729845	1	9	1057	48
ENSSSCT00000049202	6771660	6883112	6883112	1	10	1066	48
ENSSSCT00000027521	6891750	7050373	6883112	2	27	1076	49
ENSSSCT00000004465	6891750	7050373	7050373	2	26	1103	49
ENSSSCT00000045160	6918943	6926625	7050373	1	5	1129	50
ENSSSCT00000004466	7061968	7109530	7050373	1	19	1134	51
ENSSSCT00000055744	7062450	7109516	7109530	1	18	1153	51
ENSSSCT00000004467	7108100	7207401	7109530	2	11	1171	52
ENSSSCT00000020364	7230643	7230769	7207401	1	1	1182	53
ENSSSCT00000004468	7289169	7323643	7230769	1	11	1183	54
