ENSSSCG00000004128	2	0	2
ENSSSCG00000040918	29	27	2
ENSSSCG00000004130	57	0	71
ENSSSCG00000039614	0	14	0
ENSSSCG00000004132	1122	1	1121
ENSSSCG00000020208	0	0	0
ENSSSCG00000004133	613	9	605
ENSSSCG00000004134	415	7	415
ENSSSCG00000039598	29	3	32
ENSSSCG00000004136	428	6	422
ENSSSCG00000004138	494	5	489
ENSSSCG00000004139	183	2	181
ENSSSCG00000004140	217	0	217
ENSSSCG00000034307	0	0	0
ENSSSCG00000036250	1	1	0
ENSSSCG00000036890	2	0	2
ENSSSCG00000004142	456	0	456
ENSSSCG00000004143	24	0	24
ENSSSCG00000004144	180	0	180
ENSSSCG00000004145	28	0	28
ENSSSCG00000004146	210	0	210
ENSSSCG00000004147	1	1	0
ENSSSCG00000004148	141	1	140
ENSSSCG00000004149	343	0	343
ENSSSCG00000020384	0	0	0
ENSSSCG00000004150	75	1	74
ENSSSCG00000037315	0	0	0
ENSSSCG00000004151	77	0	77
ENSSSCG00000022968	24	1	23
ENSSSCG00000038420	61	0	61
ENSSSCG00000004154	108	0	108
ENSSSCG00000004155	0	0	0
ENSSSCG00000004156	634	1	633
ENSSSCG00000004158	1	0	1
ENSSSCG00000004157	13	0	13
ENSSSCG00000004159	0	0	0
ENSSSCG00000004160	93	0	93
ENSSSCG00000020379	0	0	0
ENSSSCG00000026041	376	0	376
ENSSSCG00000039049	23	1	22
ENSSSCG00000004163	986	1	985
ENSSSCG00000004164	18	3	15
ENSSSCG00000004165	137	2	135
ENSSSCG00000035425	1422	0	1422
ENSSSCG00000020601	0	0	0
ENSSSCG00000004166	65	0	65
ENSSSCG00000004167	4	0	4
ENSSSCG00000039857	13	0	13
ENSSSCG00000031314	3	0	3
ENSSSCG00000004169	302	9	293
ENSSSCG00000028115	0	0	0
ENSSSCG00000004170	90	0	90
ENSSSCG00000020130	0	0	0
ENSSSCG00000019571	0	0	0
ENSSSCG00000021443	246	0	246
ENSSSCG00000004172	108	58	123
ENSSSCG00000022387	35	15	93
ENSSSCG00000033258	18	0	18
